Номер;Время отк;Время зак.;Бот;Инструмент;Напр.;Состояние;Объём;Текущий;Ожидает;Цена входа;Цена выхода;Прибыль;Стоп Активация;Стоп Цена;Профит Активация;Профит цена;Тип Сигнала на Открытие;Тип Сигнала на Закрытие
1585;10.04.2025 16:55:00;10.04.2025 16:57:00;17 MyNewBot1tab1;UsdZar.txt;Sell;Done;51256,847662;0,000000;0;19,4217;19,40325;945,68884;0;0;0;0;IndexDeviation;IndexQuality
1583;10.04.2025 16:54:00;10.04.2025 16:56:00;7 MyNewBot1tab1;UsdJpy.txt;Buy;Done;6876,041122;0,000000;0;144,876;144,833;-295,6698;0;0;0;0;IndexDeviation;IndexQuality
1584;10.04.2025 16:54:00;10.04.2025 16:56:00;5 MyNewBot1tab1;UsdHuf.txt;Buy;Done;2720,336116;0,000000;0;366,21;366,1;-299,237;0;0;0;0;IndexDeviation;IndexQuality
1581;09.04.2025 17:07:00;09.04.2025 17:10:00;14 MyNewBot1tab1;UsdSek.txt;Sell;Done;99925,708189;0,000000;0;9,9955;9,996;-49,962854;0;0;0;0;IndexDeviation;IndexQuality
1579;09.04.2025 17:07:00;09.04.2025 17:10:00;11 MyNewBot1tab1;UsdNok.txt;Sell;Done;91492,831105;0,000000;0;10,91842;10,92926;-991,782289;0;0;0;0;IndexDeviation;IndexQuality
1576;09.04.2025 17:06:00;09.04.2025 17:10:00;6 MyNewBot1tab1;UsdInr.txt;Sell;Done;11531,461793;0,000000;0;86,625;86,637;-138,37754;0;0;0;0;IndexDeviation;IndexQuality
1578;09.04.2025 17:06:00;09.04.2025 17:10:00;5 MyNewBot1tab1;UsdHuf.txt;Buy;Done;2696,162775;0,000000;0;370,49;370,45;-107,847;0;0;0;0;IndexDeviation;IndexQuality
1580;09.04.2025 17:07:00;09.04.2025 17:10:00;0 MyNewBot1tab1;UsdCad.txt;Sell;Done;706211,846559;0,000000;0;1,41449;1,41499;-353,105923;0;0;0;0;IndexDeviation;IndexQuality
1574;09.04.2025 17:06:00;09.04.2025 17:09:00;7 MyNewBot1tab1;UsdJpy.txt;Buy;Done;6892,635029;0,000000;0;144,913;144,882;-213,6717;0;0;0;0;IndexDeviation;IndexDeviationExit
1575;09.04.2025 17:06:00;09.04.2025 17:08:00;3 MyNewBot1tab1;UsdDkk.txt;Buy;Done;147647,654309;0,000000;0;6,76555;6,76255;-442,942963;0;0;0;0;IndexDeviation;IndexDeviationExit
1577;09.04.2025 17:06:00;09.04.2025 17:08:00;1 MyNewBot1tab1;UsdChf.txt;Buy;Done;1190202,612229;0,000000;0;0,83922;0,83887;-416,570914;0;0;0;0;IndexDeviation;IndexDeviationExit
1568;09.04.2025 16:20:00;09.04.2025 17:05:00;16 MyNewBot1tab1;UsdUah.txt;Sell;Done;24318,928679;0,000000;0;41,174;41,174;0;0;0;0;0;IndexDeviation;IndexDeviationExit
1570;09.04.2025 16:20:00;09.04.2025 16:28:00;13 MyNewBot1tab1;UsdRub.txt;Sell;Done;11587,330403;0,000000;0;86,08;86,4107;-3831,93016;0;0;0;0;IndexDeviation;IndexQuality
1573;09.04.2025 16:23:00;09.04.2025 16:25:00;10 MyNewBot1tab1;UsdMxn.txt;Buy;Done;47953,046761;0,000000;0;20,8816;20,8859;206,1981;0;0;0;0;IndexDeviation;IndexQuality
1572;09.04.2025 16:21:00;09.04.2025 16:24:00;1 MyNewBot1tab1;UsdChf.txt;Buy;Done;1193752,392632;0,000000;0;0,83851;0,83843;-95,500191;0;0;0;0;IndexDeviation;IndexQuality
1569;09.04.2025 16:19:00;09.04.2025 16:23:00;11 MyNewBot1tab1;UsdNok.txt;Sell;Done;91470,428264;0,000000;0;10,94748;10,93;1598,903086;0;0;0;0;IndexDeviation;IndexDeviationExit
1571;09.04.2025 16:21:00;09.04.2025 16:23:00;7 MyNewBot1tab1;UsdJpy.txt;Buy;Done;6924,241018;0,000000;0;144,609;144,568;-283,8939;0;0;0;0;IndexDeviation;IndexDeviationExit
1567;09.04.2025 16:05:00;09.04.2025 16:07:00;7 MyNewBot1tab1;UsdJpy.txt;Sell;Done;6927,481094;0,000000;0;144,471;144,533;-429,5038;0;0;0;0;IndexDeviation;IndexQuality
1565;09.04.2025 16:04:00;09.04.2025 16:06:00;14 MyNewBot1tab1;UsdSek.txt;Sell;Done;99536,399957;0,000000;0;10,0075;10,01762;-1007,308368;0;0;0;0;IndexDeviation;IndexQuality
1563;09.04.2025 16:03:00;09.04.2025 16:06:00;3 MyNewBot1tab1;UsdDkk.txt;Buy;Done;147805,306016;0,000000;0;6,74043;6,74855;1200,179085;0;0;0;0;IndexDeviation;IndexQuality
1566;09.04.2025 16:04:00;09.04.2025 16:06:00;1 MyNewBot1tab1;UsdChf.txt;Sell;Done;1189270,583239;0,000000;0;0,83772;0,8379;-214,068705;0;0;0;0;IndexDeviation;IndexQuality
1564;09.04.2025 16:03:00;09.04.2025 16:05:00;17 MyNewBot1tab1;UsdZar.txt;Sell;Done;50325,649834;0,000000;0;19,7946;19,8035;-447,89828;0;0;0;0;IndexDeviation;IndexDeviationExit
1557;09.04.2025 16:02:00;09.04.2025 16:05:00;9 MyNewBot1tab1;UsdMdl.txt;Sell;Done;56606,576874;0,000000;0;17,6;17,6;0;0;0;0;0;IndexDeviation;IndexQuality
1561;09.04.2025 16:02:00;09.04.2025 16:05:00;6 MyNewBot1tab1;UsdInr.txt;Sell;Done;11491,997658;0,000000;0;86,693;86,691;22,984;0;0;0;0;IndexDeviation;IndexDeviationExit
1562;09.04.2025 16:03:00;09.04.2025 16:05:00;5 MyNewBot1tab1;UsdHuf.txt;Buy;Done;2696,937693;0,000000;0;369,35;369,84;1321,499;0;0;0;0;IndexDeviation;IndexDeviationExit
1558;09.04.2025 16:01:00;09.04.2025 16:03:00;15 MyNewBot1tab1;UsdSgd.txt;Sell;Done;740098,171803;0,000000;0;1,34614;1,34565;362,648104;0;0;0;0;IndexDeviation;IndexQuality
1555;09.04.2025 16:02:00;09.04.2025 16:03:00;13 MyNewBot1tab1;UsdRub.txt;Buy;Done;11573,835420;0,000000;0;86,08;86,3963;3660,80414;0;0;0;0;IndexDeviation;IndexQuality
